List of Listed Companies & Contact Information,,,,,,As of 16 Jun 2025,,,
Symbol,Company,Market,Industry,Sector,Address,Zip code,Tel.,Fax,Website
SSSC,SIAM STEEL SERVICE CENTER PUBLIC COMPANY LIMITED,SET,Industrials,Steel and Metal Products,"51/3 MOO 2, PUCHAOSAMINGPHRAI ROAD, PHRA PRA DAENG Samut Prakarn",10130,"0-2385-9251-2, 0-2385-9258-66, 0-2754-5845-9","0-2385-9241, 0-2385-9253",http://www.ssscth.com
SST,SUB SRI THAI PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"206, Plaza Building, 4th Floor, Soi Pattanakarn 20, Suan Luang Sub-District, Suan Luang District Bangkok",10250,0-2318-5514-5,-,http://www.subsrithai.co.th
SSTRT,SUB SRI THAI REAL ESTATE INVESTMENT TRUST,SET,Property & Construction,Property Fund & REITs,"206, Plaza Building, 4th Floor, Soi Pattanakarn 20, Suan Luang Sub-District, Suan Luang District Bangkok",10250,0-2318-5514-5,-,www.sstrm.co.th
STA,SRI TRANG AGRO-INDUSTRY PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Agribusiness,"10 SOI 10 PETCHKASEM ROAD, HAT YAI, Songkhla",90110,0-7434-4663,"0-7434-4676, 0-7434-4677, 0-7423-7423",www.sritranggroup.com
STANLY,THAI STANLEY ELECTRIC PUBLIC COMPANY LIMITED,SET,Industrials,Automotive,"29/3 MOO 1, BANGPHUN-RANGSIT ROAD, AMPHOE MUANG Pathum Thani",12000,0-2581-5462,0-2581-5397,www.thaistanley.com
STC,STC CONCRETE PRODUCT PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"220/26 Moo 6, Sukhumvit Road, Nakluea Sub-District, Banglamung District Chonburi",20150,0-3842-3115-6,0-3842-6519,http://www.stc.co.th/
STECH,SIAM TECHNIC CONCRETE PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,"No. 50 Soi Ngam Wong Wan 47, Intersection 20, Ngam Wong Wan Road, Thungsonghong Sub-district, Laksi District Bangkok",10210,0-2589-3888,0-2589-8911,www.stec.co.th
STECON,STECON GROUP PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"32/59-32/60 Sino-Thai Tower 29th ? 30th Floor Sukhumvit 21 Road (Soi Asoke) Khlong Toei Nuea, Watthana Bangkok",10110,0-2260-1321,-,https://www.stecongroup.co.th
STELLA,STELLA X PUBLIC COMPANY LIMITED,SET,Property & Construction,Property Development,"No. 2922/209 Charn Issara Tower 2, 13th floor (12 A) New Petchburi Road, Bangkapi, Huay Kwang Bangkok",10310,0-2030-1399,-,www.nusasiri.com
STGT,SRI TRANG GLOVES (THAILAND) PUBLIC COMPANY LIMITED,SET,Consumer Products,Personal Products & Pharmaceuticals,"No. 110 Kanjanavanit Road, Pahtong, Hat Yai Songkhla",90230,0-2207-4500,0-2108-2241-44,www.sritranggloves.com
STI,STONEHENGE INTER PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"163 Soi Chokchai Ruamitr (Ratchada 19), Dindaeng Sub-district, Dindaeng District Bangkok",10400,0-2690-7462,0-2690-7463,www.sti.co.th
STOWER,SKY TOWER PUBLIC COMPANY LIMITED,mai,Resources,-,"No.247 Romklow Road, Saensaeb, Minburi Bangkok",10510,0-2543-9020-8,0-2543-9029,www.skytower.co.th
STP,SAHATHAI PRINTING & PACKAGING PUBLIC COMPANY LIMITED,mai,Industrial,-,"200/1 Soi Jaransanitwong 42, Bangyeekhan, Bangplad Bangkok",10700,0-2423-0051-2,0-2424-7027,http://sahathaiprinting.com
STPI,STP&I PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"32/24 Sino-Thai Tower, 3rd Floor, Sukhumvit 21 Road ( Asoke), Klongtoey Nua, Wattana Bangkok",10110,0-2260 -1181,0-2260 -1182,www.stpi.co.th
STX,Stone One Public Company Limited,mai,Property & Construction,-,"29 Bangkok Business Center Building, 14th floor, Sukhumvit 63 Road, Khwaeng Khlongton Nua, Khet Wattana Bangkok",10110,0-2391-9301,0-2391-9302,https://www.stoneone.co.th
SUC,SAHA-UNION PUBLIC COMPANY LIMITED,SET,Consumer Products,Fashion,"1828 SUKHUMVIT ROAD, PHRAKHANONG TAI, PHRAKHANONG Bangkok",10260,0-2311-5111-9,0-2311-6867,www.sahaunion.co.th
SUN,SUNSWEET PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"No. 9 Moo 1, Tambon Thung Satok, Amphoe San Pa Tong Chiang Mai",50120,0-5310-6538-40,0-5310-6541,www.sunsweetthai.com
SUPER,SUPER ENERGY CORPORATION PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"223/61 Country Complex Tower, Building A, 14th Floor, Sanphawut Road, Bangna Tai, Bangna Bangkok",10260,0-2361-5599,0-2361-5036,www.supercorp.co.th
SUPEREIF,SUPER ENERGY POWER PLANT INFRASTRUCTURE FUND,SET,Resources,Energy & Utilities,"175 Sathorn City Tower, 7th , 21st and 26th Floor, South Sathorn Road, ThungMahamek Sub-district, Sathorn District Bangkok",10120,0-2674-6488,0-2679-5996,http://www.supereif.com
SUSCO,SUSCO PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"139 Ratburana Road, Bangpakok, Ratburana, Bangkok",10140,0-2428-0029,"0-2427-6270, 0-2427-6460",www.susco.co.th
SUTHA,GOLDEN LIME PUBLIC COMPANY LIMITED,SET,Industrials,Petrochemicals & Chemicals,"No. 89 Cosmo Office Park, 6th Floor, Unit H, Popular Road, Banmai Sub-district, Pakkret District, Nonthaburi",11120,0-2017-7461-3,0-2017-7460,www.goldenlime.co.th
SVI,SVI PUBLIC COMPANY LIMITED,SET,Technology,Electronic Components,"No. 141-142 Moo 5, Tiwanon Road Bangkadi, Muang Pathum Thani",12000,0-2105-0456,0-2105-0466,www.svi.co.th
SVOA,SVOA PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"No. 1023, MS Siam Tower, 31st Floor, Rama 3 Road, Chong Nonsi, Yannawa Bangkok",10120,0-2686-3000,0-2682-6300,www.svoa.co.th
SVR,SIVAROM REAL ESTATE PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"662/45 Rama III Rd, Bangphongphang, Yannawa Bangkok",10120,02-295-3361,-,www.sivarom.co.th
SVT,SUN VENDING TECHNOLOGY PUBLIC COMPANY LIMITED,SET,Services,Commerce,"No. 34, Krung Thep Kritha Road, Hua Mak, Bang Kapi Bangkok",10240,0-2295-4284,0-2683-6548,www.sunvending.co.th
SWC,SHERWOOD CORPORATION (THAILAND) PUBLIC COMPANY LIMITED,mai,Industrial,-,"1252 True Tower 2, Building No.1, 2nd Floor, Pattanakarn Road, Suan Luang Sub-District, Suan Luang District Bangkok",10250,0-2320-2288,0-2320-2670,www.sherwood.co.th
SYMC,SYMPHONY COMMUNICATION PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"123 Suntowers Building B 35th ? 36th fl. Vibhavadee Rangsit Rd., Chomphon, Chatuchak Bangkok",10900,0-2101-1111,0-2101-1133,www.symphony.net.th
SYNEX,SYNNEX (THAILAND) PUBLIC COMPANY LIMITED,SET,Technology,Information & Communication Technology,"No. 433, Sukontasawat Road Khwang Lardprao, Khet Lardprao Bangkok",10230,0-2553-8888,0-2578-8181,http://www.synnex.co.th
SYNTEC,SYNTEC CONSTRUCTION PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Services,"555/7-11 SUKHUMVIT 63 ROAD, KHLONG TON NUA, WATTHANA Bangkok",10110,0-2381-6333,0-2711-5183,www.synteccon.com
TACC,T.A.C. CONSUMER PUBLIC COMPANY LIMITED,mai,Agro & Food Industry,-,"9/231-233, UM Tower, 23rd Floor, Ramkhamhaeng Road, Suanluang Bangkok",10250,0-2717-2898,0-2717-2899,www.tacconsumer.com
TAE,THAI AGRO ENERGY PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"888/114 Mahatun Plaza bldg., 11th floor, Ploenchit Road, Lumpini, Pathumwan Bangkok",10330,0-2627-3890-4,0-2627-3889,www.thaiagroenergy.com
TAKUNI,TAKUNI GROUP PUBLIC COMPANY LIMITED,mai,Resources,-,"No. 46/7, Rungrojthanakul Building A, Floor 12, Ratchadaphisek Road, HuaiKhwang, HuaiKhwang Bangkok",10310,0-2455-2888,0-2455-2763,www.takunigroup.com
TAN,Tanachira Retail Corporation Public Company Limited,SET,Services,Commerce,"999/9 The Office at Central World, Room OFMH2807 and OFMH 2812, Floor 28, Rama I Road, Patumwan Sub-district, Patumwan District Bangkok",10330,0-2264-5081,-,www.tanachira.co.th
TAPAC,TAPACO PUBLIC COMPANY LIMITED,mai,Property & Construction,-,"789/40 MOO 1, TAMBOL NONG KHAM, AMPHOE SI RACHA Chonburi",20230,0-3829-6339-41,0-3829-6342,www.tapaco.com
TASCO,TIPCO ASPHALT PUBLIC COMPANY LIMITED,SET,Property & Construction,Construction Materials,"118/1 RAMA VI ROAD, PHAYA THAI SUB-DISTRICT, PHAYA THAI DISTRICT Bangkok",10400,0-2273-6000,0-2273-6030,http://www.tipcoasphalt.com
TATG,THAI AUTO TOOLS AND DIE PUBLIC COMPANY LIMITED,mai,Industrial,-,"45/6, 45/9 Moo 11, Khubangluang Subdistrict, Latlumkaeo District Pathum Thani",12140,0-2598-3876-9,-,www.thaiautotools.co.th
TBN,TBN Corporation Public Company Limited,mai,Technology,-,"54 Bangkok Business Building, Fl. 15, Room No. 1501-1502 Sukhumvit 21 (Asoke) Road, Klong Toey Nua, Wattana Bangkok",10110,0-2258-5841,0-2258-5842,www.tbn.co.th
TC,TROPICAL CANNING (THAILAND) PUBLIC COMPANY LIMITED,SET,Agro & Food Industry,Food & Beverage,"1/1 MOO 2, KANJANAWANIT ROAD, THUNGYAI, HAT YAI, Songkhla",90110,0-7427-3600,0-7427-3691-4,www.tropical.co.th
TCAP,THANACHART CAPITAL PUBLIC COMPANY LIMITED,SET,Financials,Banking,"444 MBK TOWER, FLOOR 16-17, PHAYATHAI ROAD, WANG MAI, PATHUM WAN Bangkok",10330,"0-2217-8000, 0-2217-8199, 0-2217-8444",0-2217-8312,www.thanachart.co.th
TCC,THAI CAPITAL CORPORATION PUBLIC COMPANY LIMITED,SET,Resources,Energy & Utilities,"87/2 CRC Tower 45th Fl., All Seasons Place, Wireless road, Lumpini, Pathumwan Bangkok",10330,0-2685-3600,0-2685-3607,www.thaicapital.co.th
